Job description,Question 12,Question 13,Question 14,Question 15
"The Joiner is responsible for providing effective joinery services to maintain and enhance the University fabric, including day-to-day maintenance and project work. The role requires a minimum of five years of trade experience and involves handling breakdowns, reactive and cyclical maintenance, particularly focusing on fire door inspection, repair, and compliance management as per the Fire Safety Regulations (2023). The Joiner will manage fire door records, oversee contractor works, ensure tools and equipment are maintained, and manage material stocks. The role also emphasizes strict adherence to health and safety regulations, conducting risk assessments, and maintaining high standards of professional conduct while ensuring value for money. Continuous professional development is essential, with an expectation to stay updated on regulations and industry standards, including asbestos awareness and CDM. Additionally, the role includes general duties such as GDPR compliance, promoting equity and social justice, and safeguarding the welfare of others.",D,C,C,B
"The Senior Web Developer supports the Web Services Manager in developing and managing the institutional Web Content Management System (CMS) and the Leeds Trinity University website to meet user requirements and institutional goals. Key responsibilities include developing and maintaining responsive content and layout templates, integrating the CMS with other systems, ensuring accessibility compliance, managing SEO, and optimizing website performance. The role involves gathering user requirements, conducting user testing, managing and documenting web systems, and line managing the Front-End Web Developer. Additionally, the Senior Web Developer collaborates with IT services, manages external suppliers, ensures adherence to digital governance frameworks, and stays updated with the latest web technologies. General duties include GDPR compliance, promoting health and safety, and advancing equity and social justice within the role.",D,B,B,A
"The Senior Student Recruitment Officer (Events)  is responsible for raising the profile of Leeds Trinity University and achieving student recruitment and outreach targets by managing on-campus, off-campus, and virtual recruitment events. The role involves planning and delivering events such as Open Days, Offer Holder Days, and postgraduate recruitment activities, while providing guidance and training to academic staff, support staff, and Student Ambassadors. The postholder monitors the effectiveness of these events, manages the Student Ambassador Scheme, and collaborates with Marketing and Communications to ensure targeted and effective outreach. Additionally, the Officer is responsible for expenditure monitoring, representing the recruitment team in meetings, and may deputize for the Student Recruitment and Outreach Manager. The role also includes ensuring GDPR compliance, promoting health and safety, and advancing equity and social justice.",C,B,B,A
"The Apprenticeships Operations Administrator supports the effective administration of apprenticeship programs by maintaining systems for tracking apprentice progress, developing and issuing necessary documentation, and ensuring compliance with University and ESFA requirements. The role involves coordinating with the Admissions team, managing surveys and evaluations, supporting the e-learning environment, scheduling teaching sessions, and responding to inquiries from employers and apprentices. Additionally, the Administrator is responsible for organizing meetings, managing diaries, supporting business workshops and events, and contributing to marketing efforts, including social media activity. The role also includes generating reports, supporting employer engagement initiatives, and ensuring GDPR compliance, while promoting equality, diversity, and inclusion.",D,C,C,B
"The Schools and Colleges Engagement Officer (Widening Participation) is responsible for supporting Leeds Trinity University in achieving its widening participation and student recruitment targets. This role involves planning, preparing, and delivering a range of widening participation initiatives, including pre-16 engagement activities and projects. The postholder designs and delivers presentations and workshops to prospective students, their parents, teachers, and advisors, while also contributing to the University’s Access and Participation Plan (APP) through the collation and evaluation of relevant data. Additionally, the Officer provides training and guidance to staff and student ambassadors, maintains relationships with targeted schools and colleges, coordinates support for care leavers, and collaborates with Marketing and Communications to ensure effective outreach. The role also includes ensuring compliance with GDPR, promoting health and safety, and supporting the University’s commitment to equality, diversity, and inclusion.",C,B,B,A
"The Customer Services Assistant is responsible for providing a customer-friendly service to campus residents, with a primary focus on ensuring an efficient mail service for students, staff, and visitors at the University. Key duties include sorting and recording internal and external mail, managing front-of-house reception services, securely issuing mail and parcels, liaising with external mail services, and handling financial transactions related to mailroom purchases. The role also involves responding to inquiries regarding mail and residential queries, maintaining equipment, using relevant software for mail handling, and updating mail services web pages. Additionally, the Assistant ensures GDPR compliance, adheres to health and safety policies, promotes equity and social justice, and may perform other duties as required",D,D,E,E
"The Facilities Assistant (Portering and Security) provides general support to the Estates & Facilities Directorate, including grounds maintenance, portering, and security duties. Key responsibilities include routine porterage of furniture and materials, refuse collection, room setup, driving duties (including the University minibus), and maintaining University vehicles. The role also involves handling reception duties, assisting with grounds maintenance, managing the opening and closing of buildings, issuing keys and access passes, responding to alarms, performing temporary repairs, conducting security patrols, and ensuring adherence to the University Car Parking Policy. Additionally, the Facilities Assistant may perform first aid duties, complete incident reports, and ensure compliance with GDPR, health and safety regulations, while promoting equity and social justice.",D,D,E,E
"The Conference and Events Operations Supervisor is responsible for promoting and implementing commercial opportunities by coordinating conferences and events at Leeds Trinity. The role involves liaising with organizers to meet customer requirements, managing conference and accommodation bookings, developing relationships with local host families, and ensuring risk assessments are conducted for activities. The Supervisor also manages and trains staff, oversees the booking system, and provides data and reports to management. Additional duties include setting up rooms and equipment, facilitating online conferences, coordinating programs for key events, supporting sustainable practices, and maintaining up-to-date digital platforms. The role requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",C,B,B,A
"The Accommodation & Conference Assistant provides first-line support for accommodation services, handling inquiries from students, staff, and partners via telephone, email, and face-to-face interactions. The role involves managing bookings and resources for conferences, events, and student accommodation, as well as supporting the Conference & Events Operations Supervisor with resource planning and event coordination. Responsibilities include setting up rooms with necessary equipment, providing technical assistance for online meetings, managing mail services, and handling customer complaints. The Assistant also participates in accommodation events, maintains accurate records, allocates bedrooms, and may deputize for the Supervisor. The role requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",D,C,D,E
"The Academic Quality Coordinator provides comprehensive administrative support to maintain definitive programme records and process curriculum modification requests. Key responsibilities include updating and publishing programme and module documentation, ensuring the accuracy of the Programme of Study Catalogue, maintaining the register of Professional, Statutory, and Regulatory Body (PSRB) accreditations, and assisting with curriculum changes. The role also involves managing the Academic Quality web page, supporting academic approval events, and contributing to policy reviews and preparations for external agency visits. Additionally, the Coordinator serves as the 'Data Champion' for the Academic Quality Office, ensuring compliance with GDPR and promoting equity and social justice.",C,B,C,E
"The Accessibility Officer is responsible for promoting and supporting accessibility and reasonable adjustments for all employees across the University, working collaboratively to foster a culture of inclusivity and equity. Key duties include developing and implementing accessibility policies, ensuring compliance with disability-related legislation, providing guidance and support to managers in accommodating employees with disabilities, and conducting assessments to identify and address accessibility barriers. The role also involves monitoring the effectiveness of reasonable adjustments and training, maintaining accurate records, participating in sector networks, and delivering workshops on equity and inclusion. The Accessibility Officer works closely with various teams to advance equity in the workplace while ensuring GDPR compliance and adhering to health and safety policies.",C,B,B,A
