Code,Job description,Question 7,Question 8,Question 9,Question 10,Question 11
,"To provide of an effective Joinery resource to ensure the University 
fabric is efficiently maintained on a day-to-day basis including undertaking Project works. To 
ensure the effective interaction of Estate and Facilities services with other services.",B,B,D,C,C
,"To support the Web Services Manager in the development and management of the 
institutional Web Content Management System and developing the externally facing Leeds 
Trinity University website in line with user requirements and institutional objectives",D,D,A,C,C
,"To help raise the profile of Leeds Trinity and achieve its student 
recruitment and outreach targets. The postholder will be responsible for representing Leeds 
Trinity through a range of activities, which will cover recruitment communications, and 
managing the delivery of recruitment events on-campus, off-campus and virtually",D,D,A,C,C
,"Working closely with the wider team, the post will play a key role in ensuring effective 
relationships with employers and other businesses, maintaining excellent standards of 
customer service at all times.",B,B,D,C,C
,"To help Leeds Trinity University achieve its widening participation and student recruitment
targets. The postholder will be responsible for representing Leeds Trinity University through a
range of widening participation and student recruitment activities. The postholder will be
responsible for collating and evaluating relevant information for the University’s Access and
Participation plan.",B,B,D,C,C
,"To provide a customer friendly service for campus residents, with a focus on ensuring an 
efficient mail service for students, staff and visitors to the University.",B,B,D,C,C
,"To provide general support to the operation of the Estates & Facilities Directorate to include grounds
and portering/security duties.",B,C,D,D,C
,"To promote, develop and implement commercial opportunities borne from attracting groups to 
Leeds Trinity. The roles include coordinating conferences and events, administration and 
development of the University of Umeå partnership and support for university events.",D,D,A,B,C
,"To provide a first line accommodation support service to include telephone, emails, face to 
face and online enquiries from students, domestic service supervisors, university partners and 
stakeholders. Responsible for sales, retention, and administration of accommodation for 
students and summer groups. The role includes coordinating conferences and events, 
administration and development of the University of Umeå partnership and support for 
University events. Liaison with other services including maintenance, domestic services, 
catering, laundry and vending providers.",B,B,D,C,C
,"Working closely with the Academic Quality Officers the postholder will provide 
comprehensive administrative support in relation to the preparation and maintenance of 
definitive programme records and outcomes from curriculum modification requests.",B,C,D,C,C
